#,Company,Symbol,Weight,Price,Chg,% Chg
479,Cabot Oil & Gas Corporation,COG,0.02243,14.64,-0.13,(-0.88%)
480,Unum Group,UNM,0.022125,29.46,0.01,(0.03%)
481,Ralph Lauren Corporation Class A,RL,0.021784,120.56,-0.86,(-0.71%)
482,Leggett & Platt Incorporated,LEG,0.02163,45.09,-1.32,(-2.84%)
483,A. O. Smith Corporation,AOS,0.02157,41.99,-1.31,(-3.03%)
484,Sealed Air Corporation,SEE,0.021064,36.93,-0.55,(-1.47%)
485,Fox Corporation Class B,FOX,0.021027,36.52,0.02,(0.05%)
486,Quanta Services Inc.,PWR,0.020359,38.89,-0.22,(-0.56%)
487,Rollins Inc.,ROL,0.019948,38.59,-0.74,(-1.88%)
488,Harley-Davidson Inc.,HOG,0.019696,33.87,-0.63,(-1.83%)
489,News Corporation Class A,NWSA,0.019552,14.19,-0.28,(-1.94%)
490,L Brands Inc.,LB,0.019406,23.54,-0.44,(-1.83%)
491,Hanesbrands Inc.,HBI,0.018815,14.25,-0.17,(-1.18%)
492,Macy's Inc,M,0.018796,16.32,-0.63,(-3.72%)
493,IPG Photonics Corporation,IPGP,0.01802,133.70,-7.75,(-5.48%)
494,Helmerich & Payne Inc.,HP,0.017361,42.65,-1.15,(-2.63%)
495,Capri Holdings Limited,CPRI,0.017157,30.50,-0.84,(-2.68%)
496,Discovery Inc. Class A,DISCA,0.01703,29.79,-0.26,(-0.87%)
497,H&R Block Inc.,HRB,0.016725,22.35,-0.87,(-3.75%)
498,Cimarex Energy Co.,XEC,0.015888,43.06,-0.65,(-1.49%)
499,Alliance Data Systems Corporation,ADS,0.015733,105.92,-0.58,(-0.54%)
500,Nordstrom Inc.,JWN,0.015074,38.12,-1.67,(-4.20%)
501,Gap Inc.,GPS,0.014331,17.80,-0.69,(-3.73%)
502,Under Armour Inc. Class A,UAA,0.013549,20.30,-0.37,(-1.79%)
503,Coty Inc. Class A,COTY,0.013073,12.03,-0.06,(-0.50%)
504,Under Armour Inc. Class C,UA,0.012834,17.97,-0.43,(-2.34%)
505,News Corporation Class B,NWS,0.006543,14.44,-0.30,(-2.04%)
